region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
  Новодугинский район ;11860;5599;6261;47,2;52,8
    Городское население - пгт Новодугино (рц);3999;1850;2149;46,3;53,7
    Сельское население;7861;3749;4112;47,7;52,3
  Починковский район;37537;17103;20434;45,6;54,4
    Городское население - г. Починок (рц);9578;4247;5331;44,3;55,7
    Сельское население;27959;12856;15103;46;54
      п. Стодолище;3284;1465;1819;44,6;55,4
      д. Шаталово;4254;2095;2159;49,2;50,8
      прочие сельские населенные пункты;20421;9296;11125;45,5;54,5
  Рославльский район ;81307;37478;43829;46,1;53,9
    Городское население;61221;28162;33059;46;54
      г. Рославль (рц);57701;26594;31107;46,1;53,9
      пгт Екимовичи;1575;703;872;44,6;55,4
      пгт Остер;1945;865;1080;44,5;55,5
    Сельское население;20086;9316;10770;46,4;53,6
  Руднянский район;28037;12596;15441;44,9;55,1
    Городское население;13737;6018;7719;43,8;56,2
      г. Рудня (рц);9853;4337;5516;44;56
      пгт Голынки;3884;1681;2203;43,3;56,7
    Сельское население;14300;6578;7722;46;54
  Сафоновский район;65251;31307;33944;48;52
    Городское население;50153;22893;27260;45,6;54,4
      г. Сафоново (рц);48209;22035;26174;45,7;54,3
      пгт Издешково;1944;858;1086;44,1;55,9
    Сельское население;15098;8414;6684;55,7;44,3
  Смоленский район - сельское население;47281;21725;25556;45,9;54,1
      п. Печерск;3750;1717;2033;45,8;54,2
      прочие сельские населенные пункты;43531;20008;23523;46;54
  Сычевский район ;15835;7814;8021;49,3;50,7
    Городское население - г. Сычевка (рц);8683;4414;4269;50,8;49,2
    Сельское население;7152;3400;3752;47,5;52,5
  Темкинский район - сельское население;6916;3147;3769;45,5;54,5
      с. Темкино (рц);2452;1113;1339;45,4;54,6
      прочие сельские населенные пункты;4464;2034;2430;45,6;54,4
  Угранский район ;11022;4882;6140;44,3;55,7
    Городское население - пгт Угра (рц);4848;2181;2667;45;55
    Сельское население;6174;2701;3473;43,7;56,3
  Хиславичский район;12007;5473;6534;45,6;54,4
    Городское население - пгт Хиславичи (рц);4617;2092;2525;45,3;54,7
    Сельское население;7390;3381;4009;45,8;54,2
  Холм-Жирковский район ;12815;5857;6958;45,7;54,3
    Городское население - пгт Холм-Жирковский (рц);3826;1747;2079;45,7;54,3
    Сельское население;8989;4110;4879;45,7;54,3
  Шумячский район;14032;6438;7594;45,9;54,1
    Городское население - пгт Шумячи (рц);4731;2162;2569;45,7;54,3
    Сельское население;9301;4276;5025;46;54
  Ярцевский район ;62012;27733;34279;44,7;55,3
    Городское население - г. Ярцево (рц);52617;23444;29173;44,6;55,4
    Сельское население;9395;4289;5106;45,7;54,3
Тамбовская область;1178443;539209;639234;45,8;54,2
    Городское население;674095;303560;370535;45;55
    Сельское население;504348;235649;268699;46,7;53,3
  г. Тамбов;293658;131584;162074;44,8;55,2
          городские районы;;;;;
        Ленинский ;41688;18075;23613;43,4;56,6
        Октябрьский ;157753;70246;87507;44,5;55,5
        Советский ;94217;43263;50954;45,9;54,1
  г. Кирсанов;18506;8581;9925;46,4;53,6
  г. Котовск;34054;15165;18889;44,5;55,5
  г. Мичуринск;96093;42724;53369;44,5;55,5
  г. Моршанск;44486;20238;24248;45,5;54,5
  г. Рассказово;46516;20914;25602;45;55
  г. Уварово;29690;13255;16435;44,6;55,4
  Бондарский район - сельское население;15311;7118;8193;46,5;53,5
      с. Бондари (рц);4068;1875;2193;46,1;53,9
      прочие сельские населенные пункты;11243;5243;6000;46,6;53,4
  Гавриловский район - сельское население;14182;6534;7648;46,1;53,9
      с. Гавриловка Вторая (рц);2780;1312;1468;47,2;52,8
      прочие сельские населенные пункты;11402;5222;6180;45,8;54,2
  Жердевский район ;33502;15447;18055;46,1;53,9
    Городское население - г. Жердевка (рц);16557;7509;9048;45,4;54,6
    Сельское население;16945;7938;9007;46,8;53,2
  Знаменский район;20590;9630;10960;46,8;53,2
    Городское население - пгт Знаменка (рц);9210;4317;4893;46,9;53,1
    Сельское население;11380;5313;6067;46,7;53,3
  Инжавинский район ;27843;12945;14898;46,5;53,5
    Городское население - пгт Инжавино (рц);10588;4852;5736;45,8;54,2
    Сельское население;17255;8093;9162;46,9;53,1
  Кирсановский район - сельское население;23613;11587;12026;49,1;50,9
  Мичуринский район - сельское население;35196;16232;18964;46,1;53,9
      с. Заворонежское;5815;2668;3147;45,9;54,1
      прочие сельские населенные пункты;29381;13564;15817;46,2;53,8
  Мордовский район ;23671;11010;12661;46,5;53,5
    Городское население;9559;4416;5143;46,2;53,8
      пгт Мордово (рц);7327;3404;3923;46,5;53,5
      пгт Новопокровка;2232;1012;1220;45,3;54,7
    Сельское население;14112;6594;7518;46,7;53,3
  Моршанский район - сельское население;38228;17408;20820;45,5;54,5
      с. Устье;3718;1678;2040;45,1;54,9
      п. Устьинский;3005;1435;1570;47,8;52,2
      прочие сельские населенные пункты;31505;14295;17210;45,4;54,6
  Мучкапский район ;18257;8439;9818;46,2;53,8
    Городское население - пгт Мучкапский (рц);8050;3701;4349;46;54
    Сельское население;10207;4738;5469;46,4;53,6
  Никифоровский район;22970;10604;12366;46,2;53,8
    Городское население - пгт Дмитриевка (рц);9287;4233;5054;45,6;54,4
    Сельское население;13683;6371;7312;46,6;53,4
  Первомайский район ;31925;14701;17224;46;54
    Городское население - пгт Первомайский (рц);13748;6324;7424;46;54
    Сельское население;18177;8377;9800;46,1;53,9
  Петровский район - сельское население;23374;10639;12735;45,5;54,5
      с. Петровское (рц);5993;2727;3266;45,5;54,5
      прочие сельские населенные пункты;17381;7912;9469;45,5;54,5
  Пичаевский район - сельское население;16542;7679;8863;46,4;53,6
      с. Пичаево (рц);3568;1656;1912;46,4;53,6
      прочие сельские населенные пункты;12974;6023;6951;46,4;53,6
  Рассказовский район - сельское население;24984;12581;12403;50,4;49,6
      с. Платоновка;3875;1770;2105;45,7;54,3
      прочие сельские населенные пункты;21109;10811;10298;51,2;48,8
  Ржаксинский район ;21981;9986;11995;45,4;54,6
    Городское население - пгт Ржакса (рц);5864;2642;3222;45,1;54,9
    Сельское население;16117;7344;8773;45,6;54,4
  Сампурский район - сельское население;16487;7636;8851;46,3;53,7
      п. Сатинка (рц);3708;1706;2002;46;54
      прочие сельские населенные пункты;12779;5930;6849;46,4;53,6
  Сосновский район ;39253;18407;20846;46,9;53,1
    Городское население - пгт Сосновка (рц);10791;5046;5745;46,8;53,2
    Сельское население;28462;13361;15101;46,9;53,1
  Староюрьевский район - сельское население;17695;8144;9551;46;54
      с. Староюрьево (рц);6886;3190;3696;46,3;53,7
      прочие сельские населенные пункты;10809;4954;5855;45,8;54,2
  Тамбовский район ;102018;47553;54465;46,6;53,4
    Городское население - пгт Новая Ляда;4997;2307;2690;46,2;53,8
    Сельское население;97021;45246;51775;46,6;53,4
      с. Бокино;4137;1967;2170;47,5;52,5
      с. Горелое;4052;1892;2160;46,7;53,3
      с. Донское;4435;2044;2391;46,1;53,9
      д. Красненькая;4625;2113;2512;45,7;54,3
      п. совхоза Комсомолец;3789;1796;1993;47,4;52,6
      с. Покрово-Пригородное;5163;2408;2755;46,6;53,4
      п. совхоза Селезневский;4742;2317;2425;48,9;51,1
      п. Строитель;17695;8231;9464;46,5;53,5
      прочие сельские населенные пункты;48383;22478;25905;46,5;53,5
  Токаревский район ;21536;10174;11362;47,2;52,8
    Городское население - пгт Токаревка (рц);7441;3461;3980;46,5;53,5
    Сельское население;14095;6713;7382;47,6;52,4
  Уваровский район - сельское население;12737;5971;6766;46,9;53,1
  Уметский район;13545;6323;7222;46,7;53,3
    Городское население - пгт Умет (рц);5000;2291;2709;45,8;54,2
    Сельское население;8545;4032;4513;47,2;52,8
Тверская область;1471459;662322;809137;45;55
    Городское население;1075746;479236;596510;44,5;55,5
    Сельское население;395713;183086;212627;46,3;53,7
  г. Тверь с подчиненными его администрации населенными пунктами - городское население;412818;182384;230434;44,2;55,8
      г. Тверь;408903;180516;228387;44,1;55,9
          городские районы ;;;;;
        Заволжский ;135162;60395;74767;44,7;55,3
        Московский ;124538;54501;70037;43,8;56,2
        Пролетарский ;92262;40868;51394;44,3;55,7
        Центральный ;56941;24752;32189;43,5;56,5
      пгт Сахарово;3915;1868;2047;47,7;52,3
  г. Бежецк;28643;13123;15520;45,8;54,2
  г. Бологое;26612;11898;14714;44,7;55,3
  г. Вышний Волочек;56405;24073;32332;42,7;57,3
  г. Кашин;17299;7487;9812;43,3;56,7
  г. Кимры;53650;23771;29879;44,3;55,7
  г. Конаково;42335;18913;23422;44,7;55,3
  г. Нелидово;26154;11632;14522;44,5;55,5
  г. Осташков;20660;8958;11702;43,4;56,6
  г. Ржев;63729;28823;34906;45,2;54,8
  г. Торжок;48967;22134;26833;45,2;54,8
  г. Удомля;31961;14920;17041;46,7;53,3
  пгт Озерный;10689;5418;5271;50,7;49,3
  пгт Солнечный;2108;949;1159;45;55
  Андреапольский район ;16213;7795;8418;48,1;51,9
    Городское население - г. Андреаполь (рц);9317;4238;5079;45,5;54,5
    Сельское население;6896;3557;3339;51,6;48,4
  Бежецкий район - сельское население;14277;6435;7842;45,1;54,9
  Бельский район ;8125;3756;4369;46,2;53,8
    Городское население - г. Белый (рц);4350;1972;2378;45,3;54,7
    Сельское население;3775;1784;1991;47,3;52,7
  Бологовский район ;18757;8959;9798;47,8;52,2
    Городское население;8096;3703;4393;45,7;54,3
      пгт Березайка;2512;1137;1375;45,3;54,7
      пгт Выползово;2047;924;1123;45,1;54,9
      пгт Куженкино;3537;1642;1895;46,4;53,6
    Сельское население;10661;5256;5405;49,3;50,7
  Весьегонский район ;16517;7359;9158;44,6;55,4
    Городское население - г. Весьегонск (рц);8662;3875;4787;44,7;55,3
    Сельское население;7855;3484;4371;44,4;55,6
  Вышневолоцкий район ;28918;13039;15879;45,1;54,9
    Городское население - пгт Красномайский;5796;2587;3209;44,6;55,4
    Сельское население;23122;10452;12670;45,2;54,8
  Жарковский район ;7631;3479;4152;45,6;54,4
    Городское население - пгт Жарковский (рц);4993;2238;2755;44,8;55,2
    Сельское население;2638;1241;1397;47;53
  Западнодвинский район ;19707;9113;10594;46,2;53,8
    Городское население;12518;5745;6773;45,9;54,1
      г. Западная Двина (рц);10212;4688;5524;45,9;54,1
      пгт Старая Торопа;2306;1057;1249;45,8;54,2
    Сельское население;7189;3368;3821;46,8;53,2
  Зубцовский район ;19398;8853;10545;45,6;54,4
    Городское население - г. Зубцов (рц);7430;3367;4063;45,3;54,7
    Сельское население;11968;5486;6482;45,8;54,2
  Калининский район ;54857;25573;29284;46,6;53,4
    Городское население;5654;2499;3155;44,2;55,8
      пгт Васильевский Мох;2578;1119;1459;43,4;56,6
      пгт Орша;2347;1065;1282;45,4;54,6
      пгт Суховерково;729;315;414;43,2;56,8
    Сельское население;49203;23074;26129;46,9;53,1
      п. Эммаусс;3516;1563;1953;44,5;55,5
      прочие сельские населенные пункты;45687;21511;24176;47,1;52,9
  Калязинский район ;24460;11119;13341;45,5;54,5
    Городское население - г. Калязин (рц);14820;6631;8189;44,7;55,3
    Сельское население;9640;4488;5152;46,6;53,4
  Кашинский район - сельское население;12701;5788;6913;45,6;54,4
  Кесовогорский район ;9289;4365;4924;47;53
    Городское население - пгт Кесова Гора (рц);4076;1907;2169;46,8;53,2
    Сельское население;5213;2458;2755;47,2;52,8
  Кимрский район ;15604;7017;8587;45;55
    Городское население - пгт Белый Городок;2825;1230;1595;43,5;56,5
    Сельское население;12779;5787;6992;45,3;54,7
  Конаковский район ;49692;22360;27332;45;55
    Городское население;30698;13763;16935;44,8;55,2
      пгт Изоплит;4441;1924;2517;43,3;56,7
      пгт Козлово;4388;2164;2224;49,3;50,7
      пгт Новозавидовский;7893;3449;4444;43,7;56,3
      пгт Радченко;2089;902;1187;43,2;56,8
      пгт Редкино;11887;5324;6563;44,8;55,2
    Сельское население;18994;8597;10397;45,3;54,7
  Краснохолмский район ;14736;6661;8075;45,2;54,8
    Городское население - г. Красный Холм (рц);6396;2850;3546;44,6;55,4
    Сельское население;8340;3811;4529;45,7;54,3
  Кувшиновский район ;17847;8017;9830;44,9;55,1
    Городское население - г. Кувшиново (рц);11276;5002;6274;44,4;55,6
    Сельское население;6571;3015;3556;45,9;54,1
  Лесной район - сельское население;6833;3144;3689;46;54
      с. Лесное (рц);1949;887;1062;45,5;54,5
      прочие сельские населенные пункты;4884;2257;2627;46,2;53,8
  Лихославльский район ;30079;13537;16542;45;55
    Городское население;17713;7788;9925;44;56
      г. Лихославль (рц);12515;5527;6988;44,2;55,8
      пгт Калашниково;5198;2261;2937;43,5;56,5
    Сельское население;12366;5749;6617;46,5;53,5
  Максатихинский район ;20644;9357;11287;45,3;54,7
    Городское население - пгт Максатиха (рц);9753;4399;5354;45,1;54,9
    Сельское население;10891;4958;5933;45,5;54,5
  Молоковский район ;7015;3170;3845;45,2;54,8
    Городское население - пгт Молоково (рц);2572;1173;1399;45,6;54,4
    Сельское население;4443;1997;2446;44,9;55,1
  Нелидовский район - сельское население;9144;4662;4482;51;49
  Оленинский район ;14817;6759;8058;45,6;54,4
    Городское население - пгт Оленино (рц);5247;2353;2894;44,8;55,2
    Сельское население;9570;4406;5164;46;54
  Осташковский район - сельское население;7357;3411;3946;46,4;53,6
  Пеновский район ;8523;3887;4636;45,6;54,4
    Городское население - пгт Пено (рц);5358;2375;2983;44,3;55,7
    Сельское население;3165;1512;1653;47,8;52,2
  Рамешковский район ;15600;7003;8597;44,9;55,1
    Городское население - пгт Рамешки (рц);4246;1889;2357;44,5;55,5
    Сельское население;11354;5114;6240;45;55
  Ржевский район - сельское население;14674;6780;7894;46,2;53,8
  Сандовский район ;9385;4189;5196;44,6;55,4
    Городское население - пгт Сандово (рц);3933;1771;2162;45;55
    Сельское население;5452;2418;3034;44,4;55,6
  Селижаровский район ;15125;6861;8264;45,4;54,6
    Городское население - пгт Селижарово (рц);7330;3250;4080;44,3;55,7
    Сельское население;7795;3611;4184;46,3;53,7
  Сонковский район ;10523;4832;5691;45,9;54,1
    Городское население - пгт Сонково (рц);4577;2081;2496;45,5;54,5
    Сельское население;5946;2751;3195;46,3;53,7
  Спировский район ;13805;6354;7451;46;54
    Городское население - пгт Спирово (рц);6859;3143;3716;45,8;54,2
    Сельское население;6946;3211;3735;46,2;53,8
  Старицкий район ;25765;11645;14120;45,2;54,8
    Городское население - г. Старица (рц);9125;4065;5060;44,5;55,5
    Сельское население;16640;7580;9060;45,6;54,4
  Торжокский район - сельское население;23856;11098;12758;46,5;53,5
  Торопецкий район ;25235;11295;13940;44,8;55,2
    Городское население - г. Торопец (рц);14600;6423;8177;44;56
    Сельское население;10635;4872;5763;45,8;54,2
  Удомельский район - сельское население;10401;4815;5586;46,3;53,7
  Фировский район ;11919;5352;6567;44,9;55,1
    Городское население;5496;2436;3060;44,3;55,7
      пгт Фирово (рц);2837;1271;1566;44,8;55,2
      пгт Великооктябрьский;2659;1165;1494;43,8;56,2
    Сельское население;6423;2916;3507;45,4;54,6
Тульская область;1675758;755037;920721;45,1;54,9
    Городское население;1366818;613161;753657;44,9;55,1
    Сельское население;308940;141876;167064;45,9;54,1
  г. Тула с подчиненными его администрации населенными пунктами - городское население;530558;235611;294947;44,4;55,6
      г. Тула;481216;212916;268300;44,2;55,8
          городские районы;;;;;
        Зареченский ;93009;41352;51657;44,5;55,5
        Привокзальный ;66408;28859;37549;43,5;56,5
        Пролетарский ;161930;71380;90550;44,1;55,9
        Советский ;77772;34138;43634;43,9;56,1
        Центральный;82097;37187;44910;45,3;54,7
      пгт Горелки;7877;3648;4229;46,3;53,7
      пгт Косая Гора;18131;8009;10122;44,2;55,8
      пгт Менделеевский;9622;4318;5304;44,9;55,1
      пгт Скуратовский;13712;6720;6992;49;51
  г. Алексин;68156;30072;38084;44,1;55,9
  г. Богородицк с подчиненными его администрации населенными пунктами - городское население ;44900;19808;25092;44,1;55,9
      г. Богородицк;30884;13573;17311;43,9;56,1
      пгт Бегичевский;2692;1184;1508;44;56
      пгт Жданковский;3134;1421;1713;45,3;54,7
      пгт Товарковский;8190;3630;4560;44,3;55,7
  г. Донской с подчиненными его администрации населенными пунктами - городское население    ;69653;32699;36954;46,9;53,1
      г. Донской;32745;14631;18114;44,7;55,3
      г. Северо-Задонск;17249;7719;9530;44,8;55,2
      пгт Задонье;1451;666;785;45,9;54,1
      пгт Комсомольский;2983;2021;962;67,8;32,2
      пгт Новоугольный;7277;3273;4004;45;55
      пгт Подлесный;1796;806;990;44,9;55,1
      пгт Руднев;2190;953;1237;43,5;56,5
      пгт Шахтерский;3962;2630;1332;66,4;33,6
  г. Ефремов;47256;21104;26152;44,7;55,3
  г. Кимовск;33169;14947;18222;45,1;54,9
  г. Новомосковск;134081;60450;73631;45,1;54,9
  г. Узловая с подчиненными его администрации населенными пунктами - городское население ;79859;35524;44335;44,5;55,5
      г. Узловая;59763;26528;33235;44,4;55,6
      пгт Брусянский;3372;1479;1893;43,9;56,1
      пгт Дубовка;9206;4096;5110;44,5;55,5
      пгт Каменецкий;2869;1341;1528;46,7;53,3
      пгт Майский;2115;932;1183;44,1;55,9
      пгт Партизан;2534;1148;1386;45,3;54,7
  г. Щекино с подчиненными его администрации населенными пунктами - городское население  ;72852;32169;40683;44,2;55,8
      г. Щекино;61588;27152;34436;44,1;55,9
      пгт Первомайский;11264;5017;6247;44,5;55,5
  Алексинский район ;13350;6086;7264;45,6;54,4
    Городское население - пгт Новогуровский;3809;1701;2108;44,7;55,3
    Сельское население;9541;4385;5156;46;54
  Арсеньевский район ;12730;5745;6985;45,1;54,9
    Городское население - пгт Арсеньево (рц);5995;2665;3330;44,5;55,5
    Сельское население;6735;3080;3655;45,7;54,3
  Белевский район ;24912;11034;13878;44,3;55,7
    Городское население - г. Белев (рц);16083;7165;8918;44,6;55,4
    Сельское население;8829;3869;4960;43,8;56,2
  Богородицкий район - сельское население ;11543;5273;6270;45,7;54,3
  Веневский район ;37612;17231;20381;45,8;54,2
    Городское население;22926;10518;12408;45,9;54,1
      г. Венев (рц);16167;7434;8733;46;54
      пгт Грицовский;6759;3084;3675;45,6;54,4
    Сельское население;14686;6713;7973;45,7;54,3
  Воловский район ;15957;7191;8766;45,1;54,9
    Городское население;5280;2367;2913;44,8;55,2
      пгт Волово (рц);4208;1883;2325;44,7;55,3
      пгт Казачка;1072;484;588;45,1;54,9
    Сельское население;10677;4824;5853;45,2;54,8
  Дубенский район ;15011;6982;8029;46,5;53,5
    Городское население - пгт Дубна (рц);6194;2848;3346;46;54
    Сельское население;8817;4134;4683;46,9;53,1
  Ефремовский район - сельское население;23436;10736;12700;45,8;54,2
  Заокский район ;19406;8869;10537;45,7;54,3
    Городское население - пгт Заокский (рц);6668;3057;3611;45,8;54,2
    Сельское население;12738;5812;6926;45,6;54,4
  Каменский район - сельское население;10720;4894;5826;45,7;54,3
      с. Архангельское (рц);2768;1242;1526;44,9;55,1
      прочие сельские населенные пункты;7952;3652;4300;45,9;54,1
  Кимовский район ;17116;7878;9238;46;54
    Городское население;5211;2392;2819;45,9;54,1
      пгт Епифань;2377;1085;1292;45,6;54,4
      пгт Казановка;804;359;445;44,7;55,3
      пгт Новольвовск;2030;948;1082;46,7;53,3
    Сельское население;11905;5486;6419;46,1;53,9
  Киреевский район ;79142;35522;43620;44,9;55,1
    Городское население;65135;29154;35981;44,8;55,2
      г. Киреевск (рц);26284;11926;14358;45,4;54,6
      г. Болохово;10364;4592;5772;44,3;55,7
      г. Липки;9843;4439;5404;45,1;54,9
      пгт Бородинский;6634;2912;3722;43,9;56,1
      пгт Октябрьский;3358;1482;1876;44,1;55,9
      пгт Приупский;3421;1531;1890;44,8;55,2
      пгт Шварцевский;5231;2272;2959;43,4;56,6
    Сельское население;14007;6368;7639;45,5;54,5
  Куркинский район ;13077;5952;7125;45,5;54,5
    Городское население - пгт Куркино (рц);6117;2755;3362;45;55
    Сельское население;6960;3197;3763;45,9;54,1
  Ленинский район ;64412;29519;34893;45,8;54,2
    Городское население;22820;10363;12457;45,4;54,6
      пгт Ленинский (рц);10120;4584;5536;45,3;54,7
      пгт Барсуки;3602;1622;1980;45;55
      пгт Плеханово;9098;4157;4941;45,7;54,3
    Сельское население;41592;19156;22436;46,1;53,9
      п. Рассвет;4002;1856;2146;46,4;53,6
      с. Хрущево;3524;1640;1884;46,5;53,5
      прочие сельские населенные пункты;34066;15660;18406;46;54
  Новомосковский район ;25211;11902;13309;47,2;52,8
    Городское население - г. Сокольники;11142;5262;5880;47,2;52,8
    Сельское население;14069;6640;7429;47,2;52,8
  Одоевский район ;14149;6305;7844;44,6;55,4
    Городское население - пгт Одоев (рц);6571;2890;3681;44;56
    Сельское население;7578;3415;4163;45,1;54,9
  Плавский район ;29499;14517;14982;49,2;50,8
    Городское население - г. Плавск (рц);16750;8724;8026;52,1;47,9
    Сельское население;12749;5793;6956;45,4;54,6
  Суворовский район ;41838;18654;23184;44,6;55,4
    Городское население;32455;14529;17926;44,8;55,2
      г. Суворов (рц);21213;9506;11707;44,8;55,2
      г. Чекалин;1151;497;654;43,2;56,8
      пгт Агеево;6106;2748;3358;45;55
      пгт Песоченский;563;253;310;44,9;55,1
      пгт Ханино;1292;565;727;43,7;56,3
      пгт Черепеть;2130;960;1170;45,1;54,9
    Сельское население;9383;4125;5258;44;56
  Тепло-Огаревский район ;14111;6548;7563;46,4;53,6
    Городское население - пгт Теплое (рц);5457;2497;2960;45,8;54,2
    Сельское население;8654;4051;4603;46,8;53,2
  Узловский район - сельское население ;11046;5156;5890;46,7;53,3
  Чернский район ;23006;10498;12508;45,6;54,4
    Городское население;7844;3429;4415;43,7;56,3
      пгт Чернь (рц);6883;3033;3850;44,1;55,9
      пгт ст. Скуратово;961;396;565;41,2;58,8
    Сельское население;15162;7069;8093;46,6;53,4
  Щекинский район ;43064;20447;22617;47,5;52,5
    Городское население;17976;8745;9231;48,6;51,4
      г. Советск;8770;3867;4903;44,1;55,9
      пгт Казначеевский;478;217;261;45,4;54,6
      пгт Ломинцевский;4802;2907;1895;60,5;39,5
      пгт Огаревка;3926;1754;2172;44,7;55,3
    Сельское население;25088;11702;13386;46,6;53,4
  Ясногорский район ;34926;15714;19212;45;55
    Городское население;21901;9716;12185;44,4;55,6
      г. Ясногорск (рц);18588;8238;10350;44,3;55,7
      пгт Ревякино;3313;1478;1835;44,6;55,4
    Сельское население;13025;5998;7027;46;54
Ярославская область;1367398;617889;749509;45,2;54,8
    Городское население;1106805;497827;608978;45;55
    Сельское население;260593;120062;140531;46,1;53,9
  г. Ярославль;613088;274005;339083;44,7;55,3
          городские районы ;;;;;
        Дзержинский ;169772;74942;94830;44,1;55,9
        Заволжский ;117726;54724;63002;46,5;53,5
        Кировский ;66778;29780;36998;44,6;55,4
        Красноперекопский ;64410;28960;35450;45;55
        Ленинский ;70425;30264;40161;43;57
        Фрунзенский ;123977;55335;68642;44,6;55,4
  г. Переславль-Залесский;43379;19923;23456;45,9;54,1
  г. Ростов;34141;15259;18882;44,7;55,3
  г. Рыбинск;222653;100408;122245;45,1;54,9
  г. Тутаев;42644;19468;23176;45,7;54,3
  г. Углич;38260;17983;20277;47;53
  Большесельский район - сельское население;10703;4845;5858;45,3;54,7
      с. Большое Село (рц);3721;1683;2038;45,2;54,8
      прочие сельские населенные пункты;6982;3162;3820;45,3;54,7
  Борисоглебский район ;14847;7158;7689;48,2;51,8
    Городское население - пгт Борисоглебский (рц);5957;2744;3213;46,1;53,9
    Сельское население;8890;4414;4476;49,7;50,3
  Брейтовский район - сельское население;9183;4154;5029;45,2;54,8
      с. Брейтово (рц);3710;1702;2008;45,9;54,1
      прочие сельские населенные пункты;5473;2452;3021;44,8;55,2
  Гаврилов-Ямский район ;28923;12928;15995;44,7;55,3
    Городское население - г. Гаврилов-Ям (рц);19105;8415;10690;44;56
    Сельское население;9818;4513;5305;46;54
  Даниловский район ;29594;13725;15869;46,4;53,6
    Городское население - г. Данилов (рц);17245;7932;9313;46;54
    Сельское население;12349;5793;6556;46,9;53,1
  Любимский район ;13987;6490;7497;46,4;53,6
    Городское население - г. Любим (рц);6254;2810;3444;44,9;55,1
    Сельское население;7733;3680;4053;47,6;52,4
  Мышкинский район ;11885;5582;6303;47;53
    Городское население - г. Мышкин (рц);6076;2797;3279;46;54
    Сельское население;5809;2785;3024;47,9;52,1
  Некоузский район - сельское население;19756;8920;10836;45,2;54,8
      с. Новый Некоуз (рц);3707;1693;2014;45,7;54,3
      п. Волга;3543;1588;1955;44,8;55,2
      прочие сельские населенные пункты;12506;5639;6867;45,1;54,9
  Некрасовский район ;24487;10883;13604;44,4;55,6
    Городское население;11377;5049;6328;44,4;55,6
      пгт Некрасовское (рц);6489;2912;3577;44,9;55,1
      пгт Бурмакино;3389;1511;1878;44,6;55,4
      пгт Красный Профинтерн;1499;626;873;41,8;58,2
    Сельское население;13110;5834;7276;44,5;55,5
  Первомайский район ;13145;6139;7006;46,7;53,3
    Городское население - пгт Пречистое (рц);5092;2351;2741;46,2;53,8
    Сельское население;8053;3788;4265;47;53
  Переславский район - сельское население;22576;10179;12397;45,1;54,9
  Пошехонский район ;18209;8220;9989;45,1;54,9
    Городское население - г. Пошехонье (рц);6973;3042;3931;43,6;56,4
    Сельское население;11236;5178;6058;46,1;53,9
  Ростовский район ;38593;17641;20952;45,7;54,3
    Городское население;18353;8448;9905;46;54
      пгт Ишня;3368;1601;1767;47,5;52,5
      пгт Петровское;5438;2521;2917;46,4;53,6
      пгт Поречье-Рыбное;1875;852;1023;45,4;54,6
      пгт Семибратово;7672;3474;4198;45,3;54,7
    Сельское население;20240;9193;11047;45,4;54,6
  Рыбинский район ;31095;14216;16879;45,7;54,3
    Городское население - пгт Песочное;3069;1287;1782;41,9;58,1
    Сельское население;28026;12929;15097;46,1;53,9
  Тутаевский район ;17131;7735;9396;45,2;54,8
    Городское население - пгт Константиновский;5840;2582;3258;44,2;55,8
    Сельское население;11291;5153;6138;45,6;54,4
  Угличский район - сельское население;15540;7297;8243;47;53
  Ярославский район ;53579;24731;28848;46,2;53,8
    Городское население;7299;3324;3975;45,5;54,5
      пгт Красные Ткачи;4141;1820;2321;44;56
      пгт Лесная Поляна;3158;1504;1654;47,6;52,4
    Сельское население;46280;21407;24873;46,3;53,7
      п. Дубки;3457;1532;1925;44,3;55,7
      д. Кузнечиха;3296;1528;1768;46,4;53,6
      с. Туношна;3219;1525;1694;47,4;52,6
      прочие сельские населенные пункты;36308;16822;19486;46,3;53,7
г. Москва и подчиненные его администрации населенные пункты - городское население;10382754;4951819;5430935;47,7;52,3
  г. Москва;10126424;4831405;5295019;47,7;52,3
     Восточный административный округ;1381797;676477;705320;49;51
          районы;;;;;
        Богородское;98602;48597;50005;49,3;50,7
        Вешняки;126546;63258;63288;50;50
        Восточное Измайлово;75450;38836;36614;51,5;48,5
        Гольяново;159147;77957;81190;49;51
        Ивановское;127905;62545;65360;48,9;51,1
        Измайлово;110099;58893;51206;53,5;46,5
        Косино-Ухтомский;16917;7818;9099;46,2;53,8
        Новогиреево;95183;46038;49145;48,4;51,6
        Новокосино;97927;50636;47291;51,7;48,3
        Метрогородок;37283;17932;19351;48,1;51,9
        Перово;135095;61773;73322;45,7;54,3
        Северное Измайлово;80785;35733;45052;44,2;55,8
        Соколиная Гора;85056;43098;41958;50,7;49,3
        Сокольники;54975;27393;27582;49,8;50,2
        Преображенское;80827;35970;44857;44,5;55,5
     Западный административный округ;1029004;487284;541720;47,4;52,6
          районы;;;;;
        Дорогомилово;59732;27139;32593;45,4;54,6
        Крылатское;76261;37321;38940;48,9;51,1
        Кунцево;125100;58676;66424;46,9;53,1
        Можайский;109248;48841;60407;44,7;55,3
        Ново-Переделкино;86755;40191;46564;46,3;53,7
