region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
село Соколово;3181;1487;1694;46,7;53,3
прочие сельские населенные пункты;13093;6222;6871;47,5;52,5
Калманский район - сельское население;14331;6989;7342;48,8;51,2
село Калманка (рц);3440;1578;1862;45,9;54,1
село Новороманово;3252;1753;1499;53,9;46,1
прочие сельские населенные пункты;7639;3658;3981;47,9;52,1
Каменский район - сельское население;12025;5723;6302;47,6;52,4
Ключевский район - сельское население;18267;8648;9619;47,3;52,7
село Ключи (рц);8892;4160;4732;46,8;53,2
прочие сельские населенные пункты;9375;4488;4887;47,9;52,1
Косихинский район - сельское население;17927;8432;9495;47;53
село Косиха (рц);5229;2440;2789;46,7;53,3
село Налобиха;4273;1953;2320;45,7;54,3
прочие сельские населенные пункты;8425;4039;4386;47,9;52,1
Красногорский район - сельское население;16228;7683;8545;47,3;52,7
село Красногорское (рц);5993;2772;3221;46,3;53,7
прочие сельские населенные пункты;10235;4911;5324;48;52
Краснощековский район - сельское население;19251;9188;10063;47,7;52,3
село Краснощёково (рц);5078;2357;2721;46,4;53,6
прочие сельские населенные пункты;14173;6831;7342;48,2;51,8
Крутихинский район - сельское население;11301;5314;5987;47;53
село Крутиха (рц);3804;1759;2045;46,2;53,8
прочие сельские населенные пункты;7497;3555;3942;47,4;52,6
Кулундинский район - сельское население;23000;10696;12304;46,5;53,5
село Кулунда (рц);14527;6570;7957;45,2;54,8
прочие сельские населенные пункты;8473;4126;4347;48,7;51,3
Курьинский район - сельское население;11079;5287;5792;47,7;52,3
село Курья (рц);3835;1811;2024;47,2;52,8
прочие сельские населенные пункты;7244;3476;3768;48;52
Кытмановский район - сельское население;13896;6602;7294;47,5;52,5
село Кытманово (рц);3873;1766;2107;45,6;54,4
прочие сельские населенные пункты;10023;4836;5187;48,2;51,8
Локтевский район;29658;13670;15988;46,1;53,9
Городское население - г. Горняк (рц);13918;6239;7679;44,8;55,2
Сельское население;15740;7431;8309;47,2;52,8
Мамонтовский район - сельское население;23412;10852;12560;46,4;53,6
село Мамонтово (рц);8784;4045;4739;46;54
прочие сельские населенные пункты;14628;6807;7821;46,5;53,5
Михайловский район;21211;9841;11370;46,4;53,6
Городское население - пгт Малиновое Озеро рп;3586;1611;1975;44,9;55,1
Сельское население;17625;8230;9395;46,7;53,3
