region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
Российская Федерация;142856536;66046579;76809957;46,2;53,8
Городское население;105313773;48117546;57196227;45,7;54,3
Сельское население;37542763;17929033;19613730;47,8;52,2
Центральный федеральный округ;38427539;17572602;20854937;45,7;54,3
Городское население;31251840;14215489;17036351;45,5;54,5
Сельское население;7175699;3357113;3818586;46,8;53,2
Белгородская область;1532526;705214;827312;46;54
Городское население;1012932;463681;549251;45,8;54,2
Сельское население;519594;241533;278061;46,5;53,5
г. Белгород;356402;161097;195305;45,2;54,8
  внутригородские округа;;;;;
  Восточный;141844;64164;77680;45,2;54,8
  Западный;214558;96933;117625;45,2;54,8
г. Алексеевка;39026;18378;20648;47,1;52,9
г. Валуйки;35322;17190;18132;48,7;51,3
г. Губкин;88560;41023;47537;46,3;53,7
г. Старый Оскол;221085;101265;119820;45,8;54,2
г. Шебекино;44279;20096;24183;45,4;54,6
Алексеевский район - сельское население;25425;11982;13443;47,1;52,9
село Иловка;3077;1437;1640;46,7;53,3
прочие сельские населенные пункты;22348;10545;11803;47,2;52,8
Белгородский район;108778;50526;58252;46,4;53,6
Городское население;33903;15528;18375;45,8;54,2
пгт Октябрьский;7456;3413;4043;45,8;54,2
пгт Разумное;16600;7603;8997;45,8;54,2
пгт Северный;9847;4512;5335;45,8;54,2
Сельское население;74875;34998;39877;46,7;53,3
село Бессоновка;3065;1437;1628;46,9;53,1
посёлок Дубовое;8627;3996;4631;46,3;53,7
посёлок Майский;8748;3995;4753;45,7;54,3
село Пушкарное;3332;1554;1778;46,6;53,4
село Стрелецкое;6862;3219;3643;46,9;53,1
село Таврово;5192;2452;2740;47,2;52,8
прочие сельские населенные пункты;39049;18345;20704;47;53
Борисовский район;26252;12293;13959;46,8;53,2
Городское население - пгт Борисовка (рц);13896;6545;7351;47,1;52,9
Сельское население;12356;5748;6608;46,5;53,5
Валуйский район;33845;15588;18257;46,1;53,9
Городское население - пгт Уразово;6982;3187;3795;45,6;54,4
Сельское население;26863;12401;14462;46,2;53,8
Вейделевский район;21670;10111;11559;46,7;53,3
Городское население - пгт Вейделевка (рц);7008;3204;3804;45,7;54,3
Сельское население;14662;6907;7755;47,1;52,9
Волоконовский район;32769;14788;17981;45,1;54,9
Городское население;16088;7275;8813;45,2;54,8
пгт Волоконовка (рц);11552;5241;6311;45,4;54,6
пгт Пятницкое;4536;2034;2502;44,8;55,2
Сельское население;16681;7513;9168;45;55
Грайворонский район;29137;13650;15487;46,8;53,2
Городское население - г. Грайворон (рц);6234;2730;3504;43,8;56,2
Сельское население;22903;10920;11983;47,7;52,3
село Головчино;4716;2113;2603;44,8;55,2
прочие сельские населенные пункты;18187;8807;9380;48,4;51,6
Губкинский район - сельское население;33561;15699;17862;46,8;53,2
село Скородное;3707;1717;1990;46,3;53,7
поселок Троицкий;6214;2861;3353;46;54
прочие сельские населенные пункты;23640;11121;12519;47;53
Ивнянский район;23570;10906;12664;46,3;53,7
Городское население - пгт Ивня (рц);7933;3679;4254;46,4;53,6
Сельское население;15637;7227;8410;46,2;53,8
Корочанский район;38695;17737;20958;45,8;54,2
Городское население - г. Короча (рц);5877;2628;3249;44,7;55,3
Сельское население;32818;15109;17709;46;54
село Бехтеевка;3290;1530;1760;46,5;53,5
прочие сельские населенные пункты;29528;13579;15949;46;54
Красненский район - сельское население;13371;6093;7278;45,6;54,4
село Красное (рц);2158;992;1166;46;54
прочие сельские населенные пункты;11213;5101;6112;45,5;54,5
Красногвардейский район;40636;18842;21794;46,4;53,6
Городское население - г. Бирюч (рц);7846;3575;4271;45,6;54,4
Сельское население;32790;15267;17523;46,6;53,4
село Засосна;4213;1941;2272;46,1;53,9
село Ливенка;3870;1792;2078;46,3;53,7
прочие сельские населенные пункты;24707;11534;13173;46,7;53,3
Краснояружский район;14891;6956;7935;46,7;53,3
Городское население - пгт Красная Яруга (рц);8028;3695;4333;46;54
Сельское население;6863;3261;3602;47,5;52,5
Новооскольский район;43396;19894;23502;45,8;54,2
Городское население - г. Новый Оскол (рц);19530;8932;10598;45,7;54,3
Сельское население;23866;10962;12904;45,9;54,1
Прохоровский район;30094;13901;16193;46,2;53,8
Городское население - пгт Прохоровка (рц);9761;4489;5272;46;54
Сельское население;20333;9412;10921;46,3;53,7
Ракитянский район;33935;15589;18346;45,9;54,1
Городское население;18940;8681;10259;45,8;54,2
пгт Ракитное (рц);10286;4750;5536;46,2;53,8
пгт Пролетарский;8654;3931;4723;45,4;54,6
Сельское население;14995;6908;8087;46,1;53,9
Ровеньский район;24060;11310;12750;47;53
Городское население - пгт Ровеньки (рц);10264;4823;5441;47;53
Сельское население;13796;6487;7309;47;53
Старооскольский район - сельское население;35457;16483;18974;46,5;53,5
село Городище;3562;1631;1931;45,8;54,2
село Роговатое;3001;1361;1640;45,4;54,6
прочие сельские населенные пункты;28894;13491;15403;46,7;53,3
Чернянский район;32647;15088;17559;46,2;53,8
Городское население - пгт Чернянка (рц);15217;6978;8239;45,9;54,1
Сельское население;17430;8110;9320;46,5;53,5
Шебекинский район;47889;22121;25768;46,2;53,8
Городское население - пгт Маслова Пристань;5819;2671;3148;45,9;54,1
Сельское население;42070;19450;22620;46,2;53,8
село Новая Таволжанка;5324;2407;2917;45,2;54,8
прочие сельские населенные пункты;36746;17043;19703;46,4;53,6
Яковлевский район;57774;26608;31166;46,1;53,9
Городское население;34932;16012;18920;45,8;54,2
г. Строитель (рц);23933;10917;13016;45,6;54,4
пгт Томаровка;8094;3740;4354;46,2;53,8
пгт Яковлево;2905;1355;1550;46,6;53,4
Сельское население;22842;10596;12246;46,4;53,6
Брянская область;1278217;582569;695648;45,6;54,4
Городское население;883427;397889;485538;45;55
Сельское население;394790;184680;210110;46,8;53,2
г. Брянск с подчиненными его администрации населенными пунктами - городское население;435245;194210;241035;44,6;55,4
г. Брянск;415721;185299;230422;44,6;55,4
  внутригородские районы;;;;;
  Бежицкий;155330;68352;86978;44;56
  Володарский;73791;33770;40021;45,8;54,2
  Советский;113328;49902;63426;44;56
  Фокинский;73272;33275;39997;45,4;54,6
пгт Белые Берега рп;9642;4331;5311;44,9;55,1
пгт Большое Полпино рп;6356;2978;3378;46,9;53,1
пгт Радица-Крыловка рп;3526;1602;1924;45,4;54,6
г. Клинцы с подчиненными его администрации населенными пунктами;70350;31914;38436;45,4;54,6
Городское население - г. Клинцы;62510;28243;34267;45,2;54,8
Сельское население;7840;3671;4169;46,8;53,2
село Займище;5297;2491;2806;47;53
прочие сельские населенные пункты;2543;1180;1363;46,4;53,6
г. Новозыбков;40553;18279;22274;45,1;54,9
г. Сельцо;17934;8179;9755;45,6;54,4
Брасовский район;21471;10515;10956;49;51
Городское население - пгт Локоть рп (рц);10028;4433;5595;44,2;55,8
Сельское население;11443;6082;5361;53,2;46,8
Брянский район - сельское население;56496;26032;30464;46,1;53,9
село Глинищево;4367;1996;2371;45,7;54,3
деревня Добрунь;4482;2019;2463;45;55
посёлок Путевка;4736;2148;2588;45,4;54,6
село Супонево;8585;4036;4549;47;53
прочие сельские населенные пункты;34326;15833;18493;46,1;53,9
Выгоничский район;20105;9497;10608;47,2;52,8
Городское население - пгт Выгоничи рп (рц);4945;2291;2654;46,3;53,7
Сельское население;15160;7206;7954;47,5;52,5
село Кокино;3863;2033;1830;52,6;47,4
прочие сельские населенные пункты;11297;5173;6124;45,8;54,2
Гордеевский район;12218;5701;6517;46,7;53,3
Городское население - пгт Мирный рп;1452;626;826;43,1;56,9
Сельское население;10766;5075;5691;47,1;52,9
село Гордеевка (рц);3109;1459;1650;46,9;53,1
прочие сельские населенные пункты;7657;3616;4041;47,2;52,8
Дубровский район;20094;9329;10765;46,4;53,6
Городское население - пгт Дубровка рп (рц);8015;3633;4382;45,3;54,7
Сельское население;12079;5696;6383;47,2;52,8
посёлок Сеща;4495;2138;2357;47,6;52,4
прочие сельские населенные пункты;7584;3558;4026;46,9;53,1
Дятьковский район;73935;33078;40857;44,7;55,3
Городское население;64393;28822;35571;44,8;55,2
г. Дятьково (рц);29439;13166;16273;44,7;55,3
г. Фокино;13876;6299;7577;45,4;54,6
пгт Бытошь рп;4255;1905;2350;44,8;55,2
пгт Ивот рп;6374;2803;3571;44;56
пгт Любохна рп;5446;2421;3025;44,5;55,5
пгт Старь рп;5003;2228;2775;44,5;55,5
Сельское население;9542;4256;5286;44,6;55,4
Жирятинский район - сельское население;7442;3555;3887;47,8;52,2
село Жирятино (рц);2537;1198;1339;47,2;52,8
прочие сельские населенные пункты;4905;2357;2548;48,1;51,9
Жуковский район;36983;17260;19723;46,7;53,3
Городское население - г. Жуковка (рц);18269;8161;10108;44,7;55,3
Сельское население;18714;9099;9615;48,6;51,4
село Ржаница;5032;2700;2332;53,7;46,3
прочие сельские населенные пункты;13682;6399;7283;46,8;53,2
Злынковский район;12917;5954;6963;46,1;53,9
Городское население;8207;3739;4468;45,6;54,4
г. Злынка (рц);5507;2494;3013;45,3;54,7
пгт Вышков рп;2700;1245;1455;46,1;53,9
Сельское население;4710;2215;2495;47;53
Карачевский район;36036;16252;19784;45,1;54,9
Городское население - г. Карачев (рц);19715;8761;10954;44,4;55,6
Сельское население;16321;7491;8830;45,9;54,1
Клетнянский район;20166;9325;10841;46,2;53,8
Городское население - пгт Клетня рп (рц);13313;6094;7219;45,8;54,2
Сельское население;6853;3231;3622;47,1;52,9
Климовский район;30003;13737;16266;45,8;54,2
Городское население - пгт Климово рп (рц);13892;6377;7515;45,9;54,1
Сельское население;16111;7360;8751;45,7;54,3
Клинцовский район - сельское население;20503;9749;10754;47,5;52,5
Комаричский район;18064;8285;9779;45,9;54,1
Городское население - пгт Комаричи рп (рц);7686;3442;4244;44,8;55,2
Сельское население;10378;4843;5535;46,7;53,3
Красногорский район;13208;6207;7001;47;53
Городское население - пгт Красная Гора рп (рц);5906;2753;3153;46,6;53,4
Сельское население;7302;3454;3848;47,3;52,7
Мглинский район;19458;9160;10298;47,1;52,9
Городское население - г. Мглин (рц);7916;3693;4223;46,7;53,3
Сельское население;11542;5467;6075;47,4;52,6
Навлинский район;28341;13189;15152;46,5;53,5
Городское население;16145;7363;8782;45,6;54,4
пгт Навля рп (рц);14361;6530;7831;45,5;54,5
пгт Алтухово рп;1784;833;951;46,7;53,3
Сельское население;12196;5826;6370;47,8;52,2
Новозыбковский район - сельское население;12415;5662;6753;45,6;54,4
Погарский район;28333;12773;15560;45,1;54,9
Городское население - пгт Погар рп (рц);9990;4538;5452;45,4;54,6
Сельское население;18343;8235;10108;44,9;55,1
Почепский район;42365;19971;22394;47,1;52,9
Городское население;17642;8444;9198;47,9;52,1
г. Почеп (рц);17161;8232;8929;48;52
пгт Рамасуха рп;481;212;269;44,1;55,9
Сельское население;24723;11527;13196;46,6;53,4
Рогнединский район;7284;3293;3991;45,2;54,8
Городское население - пгт Рогнедино рп (рц);3158;1404;1754;44,5;55,5
Сельское население;4126;1889;2237;45,8;54,2
Севский район;16923;7848;9075;46,4;53,6
Городское население - г. Севск (рц);7282;3338;3944;45,8;54,2
Сельское население;9641;4510;5131;46,8;53,2
Стародубский район;40414;18864;21550;46,7;53,3
Городское население - г. Стародуб (рц);19010;9030;9980;47,5;52,5
Сельское население;21404;9834;11570;45,9;54,1
Суземский район;16654;7549;9105;45,3;54,7
Городское население;11087;4930;6157;44,5;55,5
пгт Суземка рп (рц);9125;4031;5094;44,2;55,8
пгт Кокоревка рп;1962;899;1063;45,8;54,2
Сельское население;5567;2619;2948;47;53
Суражский район;24623;11530;13093;46,8;53,2
Городское население - г. Сураж (рц);11640;5460;6180;46,9;53,1
Сельское население;12983;6070;6913;46,8;53,2
Трубчевский район;37002;17089;19913;46,2;53,8
Городское население;21297;9747;11550;45,8;54,2
г. Трубчевск (рц);15014;6909;8105;46;54
пгт Белая Березка рп;6283;2838;3445;45,2;54,8
Сельское население;15705;7342;8363;46,7;53,3
Унечский район;40682;18583;22099;45,7;54,3
Городское население - г. Унеча (рц);26197;11899;14298;45,4;54,6
Сельское население;14485;6684;7801;46,1;53,9
Владимирская область;1443693;650141;793552;45;55
Городское население;1120671;501026;619645;44,7;55,3
Сельское население;323022;149115;173907;46,2;53,8
г. Владимир с подчиненными его администрации населенными пунктами;348031;155159;192872;44,6;55,4
Городское население - г. Владимир;345373;153917;191456;44,6;55,4
  внутригородские районы;;;;;
  Ленинский;122067;54684;67383;44,8;55,2
  Октябрьский;107990;48221;59769;44,7;55,3
  Фрунзенский;115316;51012;64304;44,2;55,8
Сельское население;2658;1242;1416;46,7;53,3
г. Гусь-Хрустальный с подчиненными его администрации населенными пунктами;64050;27863;36187;43,5;56,5
Городское население;63918;27811;36107;43,5;56,5
г. Гусь-Хрустальный;60784;26436;34348;43,5;56,5
пгт Гусевский;3134;1375;1759;43,9;56,1
Сельское население;132;52;80;39,4;60,6
г. Ковров;145214;65863;79351;45,4;54,6
г. Муром;116075;51474;64601;44,3;55,7
г. Радужный;18211;8578;9633;47,1;52,9
Александровский район;113900;51523;62377;45,2;54,8
Городское население;100864;45519;55345;45,1;54,9
г. Александров (рц);61551;28178;33373;45,8;54,2
г. Карабаново;14868;6480;8388;43,6;56,4
г. Струнино;14369;6198;8171;43,1;56,9
пгт Балакирево;10076;4663;5413;46,3;53,7
Сельское население;13036;6004;7032;46,1;53,9
Вязниковский район;80987;36577;44410;45,2;54,8
Городское население;51593;23131;28462;44,8;55,2
г. Вязники (рц);41248;18585;22663;45,1;54,9
пгт Мстёра;4859;2182;2677;44,9;55,1
пгт Никологоры;5486;2364;3122;43,1;56,9
Сельское население;29394;13446;15948;45,7;54,3
Гороховецкий район;22923;10118;12805;44,1;55,9
Городское население - г. Гороховец (рц);14016;6127;7889;43,7;56,3
Сельское население;8907;3991;4916;44,8;55,2
Гусь-Хрустальный район;44883;20488;24395;45,6;54,4
Городское население - г. Курлово;6764;2977;3787;44;56
Сельское население;38119;17511;20608;45,9;54,1
посёлок Уршельский;3783;1692;2091;44,7;55,3
прочие сельские населенные пункты;34336;15819;18517;46,1;53,9
Камешковский район;30466;13519;16947;44,4;55,6
Городское население - г. Камешково (рц);13103;5729;7374;43,7;56,3
Сельское население;17363;7790;9573;44,9;55,1
Киржачский район;42159;18932;23227;44,9;55,1
Городское население - г. Киржач (рц);29965;13343;16622;44,5;55,5
Сельское население;12194;5589;6605;45,8;54,2
Ковровский район;31477;17316;14161;55;45
Городское население - пгт Мелехово;7039;4027;3012;57,2;42,8
Сельское население;24438;13289;11149;54,4;45,6
посёлок Пакино;4605;4142;463;89,9;10,1
прочие сельские населенные пункты;19833;9147;10686;46,1;53,9
Кольчугинский район;56351;25091;31260;44,5;55,5
Городское население - г. Кольчугино (рц);45776;20224;25552;44,2;55,8
Сельское население;10575;4867;5708;46;54
Меленковский район;36464;16470;19994;45,2;54,8
Городское население - г. Меленки (рц);15206;6747;8459;44,4;55,6
Сельское население;21258;9723;11535;45,7;54,3
Муромский район - сельское население;24991;11233;13758;44,9;55,1
Петушинский район;68062;30923;37139;45,4;54,6
Городское население;53694;24229;29465;45,1;54,9
г. Петушки (рц);15148;6673;8475;44,1;55,9
г. Костерево;9073;4162;4911;45,9;54,1
г. Покров;17756;8185;9571;46,1;53,9
пгт Вольгинский;6089;2724;3365;44,7;55,3
пгт Городищи;5628;2485;3143;44,2;55,8
Сельское население;14368;6694;7674;46,6;53,4
Селивановский район;18610;8307;10303;44,6;55,4
Городское население - пгт Красная Горбатка (рц);8885;3903;4982;43,9;56,1
Сельское население;9725;4404;5321;45,3;54,7
Собинский район;58801;26308;32493;44,7;55,3
Городское население;42997;18963;24034;44,1;55,9
г. Собинка (рц);19482;8581;10901;44;56
г. Лакинск;15715;6886;8829;43,8;56,2
пгт Ставрово;7800;3496;4304;44,8;55,2
Сельское население;15804;7345;8459;46,5;53,5
Судогодский район;41177;17899;23278;43,5;56,5
Городское население - г. Судогда (рц);11848;5303;6545;44,8;55,2
Сельское население;29329;12596;16733;42,9;57,1
посёлок Андреево;3798;1706;2092;44,9;55,1
посёлок Головино;4408;1195;3213;27,1;72,9
посёлок Муромцево;3019;1380;1639;45,7;54,3
прочие сельские населенные пункты;18104;8315;9789;45,9;54,1
Суздальский район;44114;20057;24057;45,5;54,5
Городское население - г. Суздаль (рц);10535;4615;5920;43,8;56,2
Сельское население;33579;15442;18137;46;54
посёлок Боголюбово;4494;1948;2546;43,3;56,7
прочие сельские населенные пункты;29085;13494;15591;46,4;53,6
Юрьев-Польский район;36747;16443;20304;44,7;55,3
Городское население - г. Юрьев-Польский (рц);19595;8546;11049;43,6;56,4
Сельское население;17152;7897;9255;46;54
Воронежская область;2335380;1066430;1268950;45,7;54,3
Городское население;1486571;671600;814971;45,2;54,8
Сельское население;848809;394830;453979;46,5;53,5
Городской округ - город Воронеж ;975373;436802;538571;44,8;55,2
Городское население;934767;418012;516755;44,7;55,3
г. Воронеж;889680;397431;492249;44,7;55,3
  внутригородские районы;;;;;
  Железнодорожный;106751;48523;58228;45,5;54,5
  Коминтерновский;273243;121788;151455;44,6;55,4
  Левобережный;169426;75241;94185;44,4;55,6
  Ленинский;110172;50109;60063;45,5;54,5
  Советский;150716;65961;84755;43,8;56,2
  Центральный;79372;35809;43563;45,1;54,9
пгт Краснолесный рп ;5405;2340;3065;43,3;56,7
пгт Придонской рп ;18300;8253;10047;45,1;54,9
пгт Сомово рп ;13605;6170;7435;45,4;54,6
пгт Шилово рп ;7777;3818;3959;49,1;50,9
Сельское население;40606;18790;21816;46,3;53,7
село Масловка;8447;3867;4580;45,8;54,2
село Никольское;5517;2588;2929;46,9;53,1
посёлок Первое Мая;4900;2336;2564;47,7;52,3
село Подгорное;9285;4249;5036;45,8;54,2
село Подклетное;3386;1574;1812;46,5;53,5
прочие сельские населенные пункты;9071;4176;4895;46;54
Борисоглебский городской округ ;78721;36069;42652;45,8;54,2
Городское население - г. Борисоглебск;65585;29863;35722;45,5;54,5
Сельское население;13136;6206;6930;47,2;52,8
г. Нововоронеж;32635;15209;17426;46,6;53,4
Аннинский район;45385;20817;24568;45,9;54,1
Городское население - пгт Анна (рц);18032;8200;9832;45,5;54,5
Сельское население;27353;12617;14736;46,1;53,9
село Садовое;4298;1897;2401;44,1;55,9
прочие сельские населенные пункты;23055;10720;12335;46,5;53,5
Бобровский район;49494;22243;27251;44,9;55,1
Городское население - г. Бобров (рц);19738;8862;10876;44,9;55,1
Сельское население;29756;13381;16375;45;55
село Слобода;3686;1707;1979;46,3;53,7
село Хреновое;4875;2160;2715;44,3;55,7
прочие сельские населенные пункты;21195;9514;11681;44,9;55,1
Богучарский район;37198;17484;19714;47;53
Городское население - г. Богучар (рц);11811;5422;6389;45,9;54,1
Сельское население;25387;12062;13325;47,5;52,5
Бутурлиновский район;52575;24001;28574;45,7;54,3
Городское население;31175;14233;16942;45,7;54,3
г. Бутурлиновка (рц);27208;12420;14788;45,6;54,4
пгт Нижний Кисляй рп ;3967;1813;2154;45,7;54,3
Сельское население;21400;9768;11632;45,6;54,4
село Козловка;3137;1420;1717;45,3;54,7
прочие сельские населенные пункты;18263;8348;9915;45,7;54,3
Верхнемамонский район - сельское население;21659;10181;11478;47;53
село Верхний Мамон (рц);8561;4026;4535;47;53
прочие сельские населенные пункты;13098;6155;6943;47;53
Верхнехавский район - сельское население;25156;11647;13509;46,3;53,7
село Верхняя Хава (рц);8154;3739;4415;45,9;54,1
село Углянец;3658;1666;1992;45,5;54,5
прочие сельские населенные пункты;13344;6242;7102;46,8;53,2
Воробьёвский район - сельское население;18933;8928;10005;47,2;52,8
село Воробьёвка (рц);4103;1842;2261;44,9;55,1
прочие сельские населенные пункты;14830;7086;7744;47,8;52,2
Грибановский район;33073;15442;17631;46,7;53,3
Городское население - пгт Грибановский (рц);15686;7463;8223;47,6;52,4
Сельское население;17387;7979;9408;45,9;54,1
Калачеевский район;57242;26530;30712;46,3;53,7
Городское население - г. Калач (рц);20046;9141;10905;45,6;54,4
Сельское население;37196;17389;19807;46,7;53,3
село Заброды;9222;4364;4858;47,3;52,7
посёлок Пригородный;4163;1890;2273;45,4;54,6
прочие сельские населенные пункты;23811;11135;12676;46,8;53,2
Каменский район;20612;9677;10935;46,9;53,1
Городское население - пгт Каменка (рц);9192;4261;4931;46,4;53,6
Сельское население;11420;5416;6004;47,4;52,6
Кантемировский район;38081;17721;20360;46,5;53,5
Городское население - пгт Кантемировка рп (рц);11943;5400;6543;45,2;54,8
Сельское население;26138;12321;13817;47,1;52,9
село Митрофановка;5395;2463;2932;45,7;54,3
прочие сельские населенные пункты;20743;9858;10885;47,5;52,5
Каширский район - сельское население;25268;11633;13635;46;54
село Каширское (рц);4342;1991;2351;45,9;54,1
посёлок Колодезный;5736;2608;3128;45,5;54,5
прочие сельские населенные пункты;15190;7034;8156;46,3;53,7
Лискинский район;105704;48405;57299;45,8;54,2
Городское население;61497;27795;33702;45,2;54,8
г. Лиски (рц);55864;25211;30653;45,1;54,9
пгт Давыдовка рп ;5633;2584;3049;45,9;54,1
Сельское население;44207;20610;23597;46,6;53,4
село Дракино;3253;1501;1752;46,1;53,9
село Средний Икорец;4946;2332;2614;47,1;52,9
прочие сельские населенные пункты;36008;16777;19231;46,6;53,4
Нижнедевицкий район - сельское население;20611;9453;11158;45,9;54,1
село Нижнедевицк (рц);5839;2676;3163;45,8;54,2
прочие сельские населенные пункты;14772;6777;7995;45,9;54,1
Новоусманский район - сельское население;73034;33651;39383;46,1;53,9
село Новая Усмань (рц);29270;13436;15834;45,9;54,1
село Новая Усмань (часть 1) (рц);;;;;
село Новая Усмань (часть 2);;;;;
"посёлок 1-го отделения совхоза ""Масловский""";3742;1779;1963;47,5;52,5
посёлок Воля;7803;3508;4295;45;55
село Орлово;4116;1900;2216;46,2;53,8
посёлок Отрадное;4581;2145;2436;46,8;53,2
прочие сельские населенные пункты;23522;10883;12639;46,3;53,7
Новохопёрский район;41128;18872;22256;45,9;54,1
Городское население;18245;8159;10086;44,7;55,3
г. Новохопёрск (рц);6849;3026;3823;44,2;55,8
пгт Елань-Коленовский рп ;3916;1775;2141;45,3;54,7
пгт Новохопёрский рп ;7480;3358;4122;44,9;55,1
Сельское население;22883;10713;12170;46,8;53,2
село Елань-Колено;4689;2137;2552;45,6;54,4
прочие сельские населенные пункты;18194;8576;9618;47,1;52,9
Ольховатский район;24218;11128;13090;45,9;54,1
Городское население - пгт Ольховатка рп  (рц);3806;1673;2133;44;56
Сельское население;20412;9455;10957;46,3;53,7
посёлок Заболотовка;3156;1424;1732;45,1;54,9
прочие сельские населенные пункты;17256;8031;9225;46,5;53,5
Острогожский район;61291;29147;32144;47,6;52,4
Городское население - г. Острогожск (рц);33842;16701;17141;49,3;50,7
Сельское население;27449;12446;15003;45,3;54,7
Павловский район;57081;26482;30599;46,4;53,6
Городское население - г. Павловск (рц);25126;11630;13496;46,3;53,7
Сельское население;31955;14852;17103;46,5;53,5
село Воронцовка;5166;2376;2790;46;54
село Лосево;4398;1977;2421;45;55
прочие сельские населенные пункты;22391;10499;11892;46,9;53,1
Панинский район;29231;14395;14836;49,2;50,8
Городское население;9794;4394;5400;44,9;55,1
пгт Панино рп  (рц);6672;2985;3687;44,7;55,3
пгт Перелёшинский рп ;3122;1409;1713;45,1;54,9
Сельское население;19437;10001;9436;51,5;48,5
посёлок Перелёшино;3964;2772;1192;69,9;30,1
прочие сельские населенные пункты;15473;7229;8244;46,7;53,3
Петропавловский район - сельское население;20042;9237;10805;46,1;53,9
село Петропавловка (рц);5250;2431;2819;46,3;53,7
прочие сельские населенные пункты;14792;6806;7986;46;54
Поворинский район;34030;15520;18510;45,6;54,4
Городское население - г. Поворино (рц);17692;7967;9725;45;55
Сельское население;16338;7553;8785;46,2;53,8
село Пески;6953;3234;3719;46,5;53,5
прочие сельские населенные пункты;9385;4319;5066;46;54
Подгоренский район;27340;12674;14666;46,4;53,6
Городское население - пгт Подгоренский (рц);6136;2706;3430;44,1;55,9
Сельское население;21204;9968;11236;47;53
слобода  Подгорное;3785;1787;1998;47,2;52,8
прочие сельские населенные пункты;17419;8181;9238;47;53
Рамонский район;32027;15038;16989;47;53
Городское население - пгт Рамонь рп  (рц);8354;3776;4578;45,2;54,8
Сельское население;23673;11262;12411;47,6;52,4
Репьёвский район - сельское население;16027;7317;8710;45,7;54,3
село Репьёвка (рц);5332;2438;2894;45,7;54,3
прочие сельские населенные пункты;10695;4879;5816;45,6;54,4
Россошанский район;94694;43804;50890;46,3;53,7
Городское население - г. Россошь (рц);62865;28916;33949;46;54
Сельское население;31829;14888;16941;46,8;53,2
Семилукский район;67247;31611;35636;47;53
Городское население;37488;17693;19795;47,2;52,8
г. Семилуки (рц);26023;12497;13526;48;52
пгт Латная рп;7528;3439;4089;45,7;54,3
пгт Стрелица рп ;3937;1757;2180;44,6;55,4
Сельское население;29759;13918;15841;46,8;53,2
село Девица;4562;2125;2437;46,6;53,4
село Землянск;3043;1363;1680;44,8;55,2
прочие сельские населенные пункты;22154;10430;11724;47,1;52,9
Таловский район;42603;19489;23114;45,7;54,3
Городское население - пгт Таловая рп  (рц);12219;5494;6725;45;55
Сельское население;30384;13995;16389;46,1;53,9
посёлок Абрамовка;3363;1561;1802;46,4;53,6
село Верхняя Тишанка;3250;1474;1776;45,4;54,6
прочие сельские населенные пункты;23771;10960;12811;46,1;53,9
Терновский район - сельское население;22125;10240;11885;46,3;53,7
село Терновка (рц);5671;2596;3075;45,8;54,2
прочие сельские населенные пункты;16454;7644;8810;46,5;53,5
Хохольский район;29814;13582;16232;45,6;54,4
Городское население - пгт Хохольский рп  (рц);7510;3412;4098;45,4;54,6
Сельское население;22304;10170;12134;45,6;54,4
село Гремячье;3373;1531;1842;45,4;54,6
село Хохол;4512;2063;2449;45,7;54,3
прочие сельские населенные пункты;14419;6576;7843;45,6;54,4
Эртильский район;25728;12001;13727;46,6;53,4
Городское население - г. Эртиль (рц);11387;5218;6169;45,8;54,2
Сельское население;14341;6783;7558;47,3;52,7
Ивановская область;1061651;474439;587212;44,7;55,3
Городское население;859335;377832;481503;44;56
Сельское население;202316;96607;105709;47,8;52,2
г. Иваново;408330;179572;228758;44;56
  внутригородские районы;;;;;
  Ленинский;149533;64952;84581;43,4;56,6
  Октябрьский;87870;38315;49555;43,6;56,4
  Советский;62171;27180;34991;43,7;56,3
  Фрунзенский;108756;49125;59631;45,2;54,8
г. Вичуга;37583;16155;21428;43;57
г. Кинешма;88164;37922;50242;43;57
г. Тейково;34976;17124;17852;49;51
г. Фурманов;36144;15600;20544;43,2;56,8
г. Шуя;58486;25233;33253;43,1;56,9
Верхнеландеховский район;5348;2472;2876;46,2;53,8
Городское население - пгт Верхний Ландех (рц);2027;927;1100;45,7;54,3
Сельское население;3321;1545;1776;46,5;53,5
Вичугский район;20201;9110;11091;45,1;54,9
Городское население;12054;5267;6787;43,7;56,3
пгт Каменка;3981;1736;2245;43,6;56,4
пгт Ново-Писцово;2748;1213;1535;44,1;55,9
пгт Старая Вичуга;5325;2318;3007;43,5;56,5
Сельское население;8147;3843;4304;47,2;52,8
Гаврилово-Посадский район;17591;8468;9123;48,1;51,9
Городское население;8992;3935;5057;43,8;56,2
г. Гаврилов Посад (рц);6434;2832;3602;44;56
пгт Петровский;2558;1103;1455;43,1;56,9
Сельское население;8599;4533;4066;52,7;47,3
Заволжский район;18468;8128;10340;44;56
Городское население - г. Заволжск (рц);12045;5205;6840;43,2;56,8
Сельское население;6423;2923;3500;45,5;54,5
Ивановский район;66398;30541;35857;46;54
Городское население - г. Кохма;29411;13725;15686;46,7;53,3
Сельское население;36987;16816;20171;45,5;54,5
село Ново-Талицы;8563;3830;4733;44,7;55,3
прочие сельские населенные пункты;28424;12986;15438;45,7;54,3
