region;total_population_2020;male_population_0;male_percent_0;total_population_2010;male_population_1;male_percent_1;total_population_2002;male_population_2;male_percent_2
Регион;Популяция_2020;Мужчины_0;Мужчины_процент_0;Популяция_2010;Мужчины_1;Мужчины_процент_1;Популяция_2002;Мужчины_2;Мужчины_процент_2
нижневедугское поселение;1687.0;806.0;47.8;;;;;;
рамонь;581.0;275.0;47.3;8354.0;3776.0;45.2;8039.0;3645.0;45.3
островское поселение;828.0;416.0;50.2;;;;;;
кутковское поселение;456.0;201.0;44.1;;;;;;
мечетское поселение;887.0;432.0;48.7;;;;;;
губаревское поселение;2191.0;1066.0;48.7;;;;;;
щучинское поселение;1085.0;523.0;48.2;;;;;;
бабяковское поселение;4583.0;2216.0;48.4;;;;;;
борщевское поселение;352.0;169.0;48.0;;;;;;
шубинское поселение;2285.0;1029.0;45.0;;;;;;
средний икорец;4411.0;2066.0;46.8;4946.0;2332.0;47.1;3319.0;1544.0;46.5
новохарьковское поселение;769.0;359.0;46.7;;;;;;
внутригородские районы;;;;;;;;;
манинское поселение;1885.0;864.0;45.8;;;;;;
каширский район;23122.0;10798.0;46.7;25268.0;11633.0;46.0;27106.0;12467.0;46.0
яменское поселение;7658.0;3663.0;47.8;;;;;;
чулокское поселение;1063.0;483.0;45.4;;;;;;
тимирязевское поселение;2352.0;1063.0;45.2;;;;;;
верхнемамонское поселение;7505.0;3346.0;44.6;;;;;;
сомово;;;;13605.0;6170.0;45.4;13922.0;6326.0;45.4
осетровское поселение;662.0;306.0;46.2;;;;;;
тхоревское поселение;1263.0;620.0;49.1;;;;;;
нижний мамон;3464.0;1666.0;48.1;;;;3969.0;1811.0;45.6
писаревское поселение;1443.0;701.0;48.6;;;;;;
колыбельское поселение;977.0;457.0;46.8;;;;;;
алейниковское поселение;1282.0;625.0;48.8;;;;;;
круглянское поселение;852.0;403.0;47.3;;;;;;
павловск;1018.0;489.0;48.0;25126.0;11630.0;46.3;26365.0;12189.0;46.2
александровское поселение;260.0;119.0;45.8;;;;;;
архиповское поселение;1881.0;885.0;47.0;;;;;;
калиновское поселение;201.0;96.0;47.8;;;;;;
старинское поселение;714.0;331.0;46.4;;;;;;
перелешинское городское поселение;3125.0;1469.0;47.0;;;;;;
хреновское поселение;4825.0;2229.0;46.2;;;;;;
